Date,Event Link,Event,Location,Venue,Attendance
2014-04-16,http://ufcstats.com/event-details/f9f07bb5a43535ed,UFC Fight Night: Bisping vs. Kennedy,"Quebec City, Quebec, Canada",Colisée Pepsi,5029
2014-04-11,http://ufcstats.com/event-details/d632d156c0549e07,UFC Fight Night: Minotauro vs. Nelson,"Abu Dhabi, United Arab Emirates",Etihad Park,7963
2014-03-23,http://ufcstats.com/event-details/d5f820c11a121050,UFC Fight Night: Shogun vs. Henderson 2,"Natal, Rio Grande do Norte, Brazil",Ginásio Nélio Dias,6828
2014-03-15,http://ufcstats.com/event-details/179f1948dc234f1f,UFC 171: Hendricks vs. Lawler,"Dallas, Texas, USA",American Airlines Center,19324
2014-03-08,http://ufcstats.com/event-details/ebc1f40e00e0c481,UFC Fight Night: Gustafsson vs. Manuwa,"London, England, United Kingdom",The O2 Arena,14604
2014-03-01,http://ufcstats.com/event-details/a26198ba5093147e,UFC Fight Night: Kim vs. Hathaway,"Macau, China",Cotai Arena,6000
2014-02-22,http://ufcstats.com/event-details/3138fab619faf4d1,UFC 170: Rousey vs. McMann,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10217
2014-02-15,http://ufcstats.com/event-details/51b0bb73a1da34bc,UFC Fight Night: Machida vs. Mousasi,"Jaragua do Sul, Santa Catarina, Brazil",Arena Jaraguá,7511
2014-02-01,http://ufcstats.com/event-details/fc31f896cde2bc2e,UFC 169: Barao vs. Faber 2,"Newark, New Jersey, USA",Prudential Center,14308
2014-01-25,http://ufcstats.com/event-details/a8d521d913df4e31,UFC on FOX: Henderson vs. Thomson,"Chicago, Illinois, USA",United Center,10895
2014-01-15,http://ufcstats.com/event-details/30a09e43f15f1d75,UFC Fight Night: Rockhold vs. Philippou,"Duluth, Georgia, USA",Arena at Gwinnett Center,5822
2014-01-04,http://ufcstats.com/event-details/e5c9de15bb58b1c6,UFC Fight Night: Saffiedine vs. Lim,"Singapore, Singapore",Marina Bay Sands,5216
2013-12-28,http://ufcstats.com/event-details/83d0de122f2f9664,UFC 168: Weidman vs. Silva 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,15650
2013-12-14,http://ufcstats.com/event-details/480b702debcb5433,UFC on FOX: Johnson vs. Benavidez 2,"Sacramento, California, USA",Sleep Train Arena,11573
2013-12-06,http://ufcstats.com/event-details/ee457ef1e1c326c1,UFC Fight Night: Hunt vs. Bigfoot,"Brisbane, Queensland, Australia",Brisbane Entertainment Centre,11393
2013-11-30,http://ufcstats.com/event-details/9a967e8e43dcef63,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,4853
2013-11-16,http://ufcstats.com/event-details/28f3c2258a1d8874,UFC 167: St-Pierre vs. Hendricks,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14856
2013-11-09,http://ufcstats.com/event-details/5d7c18191b8aa432,UFC Fight Night: Belfort vs. Henderson 2,"Goiania, Goias, Brazil",Goiânia Arena,10565
2013-11-06,http://ufcstats.com/event-details/35dc6220b113b7ec,UFC Fight Night: Fight for the Troops 3,"Fort Campbell, Kentucky, USA",Fort Campbell,
2013-10-26,http://ufcstats.com/event-details/60884f31ead1609c,UFC Fight Night: Machida vs. Munoz,"Manchester, England, United Kingdom",Phones 4u Arena,10355
2013-10-19,http://ufcstats.com/event-details/eae4aec1a5a8ff01,UFC 166: Velasquez vs. Dos Santos 3,"Houston, Texas, USA",Toyota Center,17238
2013-10-09,http://ufcstats.com/event-details/43612456979e5d5e,UFC Fight Night: Maia vs. Shields,"Barueri, Sao Paulo, Brazil",Ginásio José Corrêa,6621
2013-09-21,http://ufcstats.com/event-details/df5a77121ba84a5d,UFC 165: Jones vs. Gustafsson,"Toronto, Ontario, Canada",Scotiabank Arena,15504
2013-09-04,http://ufcstats.com/event-details/b23fca14c7b79935,UFC Fight Night: Teixeira vs. Bader,"Belo Horizonte, Minas Gerais, Brazil",Mineirinho Arena,5126
2013-08-31,http://ufcstats.com/event-details/980b4e712489098e,UFC 164: Henderson vs. Pettis 2,"Milwaukee, Wisconsin, USA",BMO Harris Bradley Center,9178
2013-08-28,http://ufcstats.com/event-details/e5c38954c006f15c,UFC Fight Night: Condit vs. Kampmann 2,"Indianapolis, Indiana, USA",Bankers Life Fieldhouse,6417
2013-08-17,http://ufcstats.com/event-details/cf1a88371c8cb690,UFC Fight Night: Shogun vs. Sonnen,"Boston, Massachusetts, USA",TD Garden,14181
2013-08-03,http://ufcstats.com/event-details/ebc5af72ad5a28cb,UFC 163: Aldo vs. Jung,"Rio de Janeiro, Brazil",HSBC Arena,13873
2013-07-27,http://ufcstats.com/event-details/5330fe7e4c3af81c,UFC on FOX: Johnson vs. Moraga,"Seattle, Washington, USA",Climate Pledge Arena,8967
2013-07-06,http://ufcstats.com/event-details/e0b74df14f52cd15,UFC 162: Silva vs. Weidman,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12964
2013-06-15,http://ufcstats.com/event-details/8fd1f27e86661ede,UFC 161: Evans vs. Henderson,"Winnipeg, Manitoba, Canada",Canada Life Centre,14754
2013-06-08,http://ufcstats.com/event-details/7865707fd684d77b,UFC on FUEL TV: Nogueira vs. Werdum,"Fortaleza, Ceara, Brazil",Ginásio Paulo Sarasate,6286
2013-05-25,http://ufcstats.com/event-details/3c241737a6069b9f,UFC 160: Velasquez vs. Silva 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12380
2013-05-18,http://ufcstats.com/event-details/030f08370fd1c2bb,UFC on FX: Belfort vs. Rockhold,"Jaragua do Sul, Santa Catarina, Brazil",Arena Jaraguá,7642
2013-04-27,http://ufcstats.com/event-details/ea0ad155451ed1f5,UFC 159: Jones vs. Sonnen,"Newark, New Jersey, USA",Prudential Center,15227
2013-04-20,http://ufcstats.com/event-details/aa79d5399571068e,UFC on FOX: Henderson vs. Melendez,"San Jose, California, USA",SAP Center,13506
2013-04-13,http://ufcstats.com/event-details/ce47f49e5c386a9c,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,5918
2013-04-06,http://ufcstats.com/event-details/6291ac0a3726732f,UFC on FUEL TV: Mousasi vs. Latifi,"Stockholm, Sweden",Avicii Arena,14506
2013-03-16,http://ufcstats.com/event-details/f1b2a4365799c48b,UFC 158: St-Pierre vs. Diaz,"Montreal, Quebec, Canada",Bell Centre,20145
2013-03-02,http://ufcstats.com/event-details/83c6c3e0f8bde8ee,UFC on FUEL TV: Silva vs. Stann,"Saitama, Japan",Saitama Super Arena,14682
2013-02-23,http://ufcstats.com/event-details/09c44b317c98bf96,UFC 157: Rousey vs. Carmouche,"Anaheim, California, USA",Honda Center,13257
2013-02-16,http://ufcstats.com/event-details/4679a38cced7c64a,UFC on FUEL TV: Barao vs. McDonald,"London, England, United Kingdom",Wembley Arena,10349
2013-02-02,http://ufcstats.com/event-details/601cf40c09090853,UFC 156: Aldo vs. Edgar,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10275
2013-01-26,http://ufcstats.com/event-details/738acab0c6934dd8,UFC on FOX: Johnson vs. Dodson,"Chicago, Illinois, USA",United Center,16091
2013-01-19,http://ufcstats.com/event-details/56f4b81ec4db61af,UFC on FX: Belfort vs. Bisping,"Sao Paulo, Brazil",Ginásio do Ibirapuera,9116
2012-12-29,http://ufcstats.com/event-details/c6e6926a81adcd00,UFC 155: Dos Santos vs. Velasquez II,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13561
2012-12-15,http://ufcstats.com/event-details/c6da1c24fe473418,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,2500
2012-12-14,http://ufcstats.com/event-details/e8c170a64dc920ac,UFC on FX: Sotiropoulos vs. Pearson,"Gold Coast, Queensland, Australia",Gold Coast Convention and Exhibition Centre,5133
2012-12-08,http://ufcstats.com/event-details/d1e6a6536ee62517,UFC on FOX: Henderson vs. Diaz,"Seattle, Washington, USA",Climate Pledge Arena,14387
2012-11-17,http://ufcstats.com/event-details/d41937647eae9a34,UFC 154: St-Pierre vs. Condit,"Montreal, Quebec, Canada",Bell Centre,17249
2012-11-10,http://ufcstats.com/event-details/319fa1bd3176bded,UFC Macao: Franklin vs. Le,"Macau, China",Cotai Arena,8415
2012-10-13,http://ufcstats.com/event-details/96d173b7f92aa520,UFC 153: Silva vs. Bonnar,"Rio de Janeiro, Brazil",Farmasi Arena,16844
2012-10-05,http://ufcstats.com/event-details/6a0b80a24f22e152,UFC on FX: Browne vs. Bigfoot,"Minneapolis, Minnesota, USA",Target Center,7049
2012-09-29,http://ufcstats.com/event-details/6cbb7661c3258617,UFC on FUEL TV: Struve vs. Miocic,"Nottingham, England, United Kingdom",Motorpoint Arena,7241
2012-09-22,http://ufcstats.com/event-details/53e533db1b8e9712,UFC 152: Jones vs. Belfort,"Toronto, Ontario, Canada",Scotiabank Arena,16800
2012-08-11,http://ufcstats.com/event-details/3c48019bc387b80c,UFC 150: Henderson vs. Edgar II,"Denver, Colorado, USA",Ball Arena,13027
2012-08-04,http://ufcstats.com/event-details/f62850b3c7480db9,UFC on FOX: Shogun vs. Vera,"Los Angeles, California, USA",Crypto.com Arena,16080
2012-07-21,http://ufcstats.com/event-details/abbc4fc02e0d84b3,UFC 149: Faber vs. Barao,"Calgary, Alberta, Canada",Scotiabank Saddledome,16089
2012-07-11,http://ufcstats.com/event-details/d3b5ad3b15a64a18,UFC on FUEL TV: Munoz vs. Weidman,"San Jose, California, USA",SAP Center,4250
2012-07-07,http://ufcstats.com/event-details/e8efeb9cf33b1941,UFC 148: Silva vs. Sonnen 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,15104
2012-06-23,http://ufcstats.com/event-details/3da19339ee7051d5,UFC 147: Silva vs. Franklin 2,"Belo Horizonte, Minas Gerais, Brazil",Mineirinho Arena,16643
2012-06-22,http://ufcstats.com/event-details/505934897b8b4824,UFC on FX: Maynard vs. Guida,"Atlantic City, New Jersey, USA",Revel Casino Hotel,4652
2012-06-08,http://ufcstats.com/event-details/49590e0508b2c19f,UFC on FX: Johnson vs. McCall,"Sunrise, Florida, USA",Amerant Bank Arena,6635
2012-06-01,http://ufcstats.com/event-details/96087e90d900f0ef,The Ultimate Fighter: Live Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1628
2012-05-26,http://ufcstats.com/event-details/4985113c0928aa62,UFC 146: Dos Santos vs. Mir,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14674
2012-05-15,http://ufcstats.com/event-details/8caca5857ce0e30b,UFC on FUEL TV: Korean Zombie vs. Poirier,"Fairfax, Virginia, USA",EagleBank Arena,6668
2012-05-05,http://ufcstats.com/event-details/5898357a45a73674,UFC on FOX: Diaz vs. Miller,"East Rutherford, New Jersey, USA",Meadowlands Arena,10788
2012-04-21,http://ufcstats.com/event-details/155bfc7ed36622df,UFC 145: Jones vs. Evans,"Atlanta, Georgia, USA",Philips Arena,15545
2012-04-14,http://ufcstats.com/event-details/21f2974fd08085e3,UFC on FUEL TV: Gustafsson vs. Silva,"Stockholm, Sweden",Avicii Arena,15428
2012-03-02,http://ufcstats.com/event-details/b5ea750025697880,UFC on FX: Alves vs. Kampmann,"Sydney, New South Wales, Australia",Qudos Bank Arena,14537
2012-02-25,http://ufcstats.com/event-details/8377c5572cb356f3,UFC 144: Edgar vs. Henderson,"Saitama, Japan",Saitama Super Arena,21000
2012-02-15,http://ufcstats.com/event-details/0a97691039c4bbfb,UFC on FUEL TV: Sanchez vs. Ellenberger,"Omaha, Nebraska, USA",Omaha Civic Auditorium,6283
2012-02-04,http://ufcstats.com/event-details/df2cf66d8c0123db,UFC 143: Diaz vs. Condit,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,9015
2012-01-28,http://ufcstats.com/event-details/c3c23c99477c041b,UFC on FOX: Evans vs. Davis,"Chicago, Illinois, USA",United Center,16963
2012-01-20,http://ufcstats.com/event-details/4d74641fac830182,UFC on FX: Guillard vs. Miller,"Nashville, Tennessee, USA",Bridgestone Arena,7728
2012-01-14,http://ufcstats.com/event-details/18524b46c570730b,UFC 142: Aldo vs. Mendes,"Rio de Janeiro, Brazil",HSBC Arena,10605
2011-12-30,http://ufcstats.com/event-details/91720876db0ee468,UFC 141: Lesnar vs. Overeem,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13793
2011-12-10,http://ufcstats.com/event-details/6d7886b094b471ac,UFC 140: Jones vs. Machida,"Toronto, Ontario, Canada",Scotiabank Arena,18303
2011-12-03,http://ufcstats.com/event-details/1f5f75658551f2d3,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1909
2011-11-19,http://ufcstats.com/event-details/0ec821423baa26bd,UFC 139: Shogun vs. Henderson,"San Jose, California, USA",SAP Center,13832
2011-11-12,http://ufcstats.com/event-details/1c061eb6e29eaa0a,UFC on FOX: Velasquez vs. Dos Santos,"Anaheim, California, USA",Honda Center,11607
2011-11-05,http://ufcstats.com/event-details/e780ccc79a209985,UFC 138: Leben vs. Munoz,"Birmingham, England, United Kingdom",LG Arena,10823
2011-10-29,http://ufcstats.com/event-details/8788beb528894f33,UFC 137: Penn vs. Diaz,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10313
2011-10-08,http://ufcstats.com/event-details/7d5b12de1625984e,UFC 136: Edgar vs. Maynard 3,"Houston, Texas, USA",Toyota Center,16164
2011-10-01,http://ufcstats.com/event-details/44f9c777fed7ca03,UFC Live: Cruz vs. Johnson,"Washington, DC, USA",Capital One Arena,9380
2011-09-24,http://ufcstats.com/event-details/73ef22f25d0f70e2,UFC 135: Jones vs. Rampage,"Denver, Colorado, USA",Pepsi Center,16344
2011-09-17,http://ufcstats.com/event-details/1ffc38f67785797b,UFC Fight Night: Shields vs. Ellenberger,"New Orleans, Louisiana, USA",Ernest N. Morial Convention Center,7112
2011-08-27,http://ufcstats.com/event-details/18968f97ad34f15c,UFC 134: Silva vs. Okami,"Rio de Janeiro, Brazil",HSBC Arena,14000
2011-08-14,http://ufcstats.com/event-details/4c8d6fde2dde07c4,UFC Live: Hardy vs. Lytle,"Milwaukee, Wisconsin, USA",Bradley Center,6751
2011-08-06,http://ufcstats.com/event-details/f1f9e48a0d150757,UFC 133: Evans vs. Ortiz 2,"Philadelphia, Pennsylvania, USA",Wells Fargo Center,11583
2011-07-02,http://ufcstats.com/event-details/83fd97284f4bb4a4,UFC 132: Cruz vs. Faber,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13109
2011-06-26,http://ufcstats.com/event-details/d023ae89a2a4a41e,UFC Live: Kongo vs. Barry,"Pittsburgh, Pennsylvania, USA",Consol Energy Center,7792
2011-06-11,http://ufcstats.com/event-details/aac5ac38148f0528,UFC 131: Dos Santos vs. Carwin,"Vancouver, British Columbia, Canada",Rogers Arena,14685
2011-06-04,http://ufcstats.com/event-details/3ba3b5cc94498437,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,2053
2011-05-28,http://ufcstats.com/event-details/b732b326c362fb62,UFC 130: Rampage vs. Hamill,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12753
2011-04-30,http://ufcstats.com/event-details/2db7fa8db6bc9632,UFC 129: St-Pierre vs. Shields,"Toronto, Ontario, Canada",Rogers Centre,55724
2011-03-26,http://ufcstats.com/event-details/8a59d346dc976a10,UFC Fight Night: Nogueira vs. Davis,"Seattle, Washington, USA",Climate Pledge Arena,13741
2011-03-19,http://ufcstats.com/event-details/1411c630ba711b64,UFC 128: Shogun vs. Jones,"Newark, New Jersey, USA",Prudential Center,12619
2011-03-03,http://ufcstats.com/event-details/a54fc2d6fc224dc3,UFC Live: Sanchez vs. Kampmann,"Louisville, Kentucky, USA",KFC Yum! Center,8319
2011-02-26,http://ufcstats.com/event-details/88a9bc81271ccd89,UFC 127: Penn vs. Fitch,"Sydney, New South Wales, Australia",Qudos Bank Arena,18186
2011-02-05,http://ufcstats.com/event-details/65ddc8a9ac4e8531,UFC 126: Silva vs. Belfort,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10893
2011-01-22,http://ufcstats.com/event-details/282fa667ff9c51ed,UFC Fight Night: Fight for the Troops 2,"Killeen, Texas, USA",Fort Hood,3200
2011-01-01,http://ufcstats.com/event-details/d1152823307d7e7c,UFC 125: Resolution,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12874
2010-12-11,http://ufcstats.com/event-details/132f860d02953f4c,UFC 124: St-Pierre vs. Koscheck 2,"Montreal, Quebec, Canada",Bell Centre,23152
2010-12-04,http://ufcstats.com/event-details/5d7bdab5e03e3216,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1903
2010-11-20,http://ufcstats.com/event-details/dd992d569aaebee6,UFC 123: Rampage vs. Machida,"Auburn Hills, Michigan, USA",The Palace of Auburn Hills,16404
2010-11-13,http://ufcstats.com/event-details/0ff11cc094e887bc,UFC 122: Marquardt vs. Okami,"Oberhausen, North Rhine-Westphalia, Germany",Rudolf Weber-Arena,8421
2010-10-23,http://ufcstats.com/event-details/afdb76fbd86f6d11,UFC 121: Lesnar vs. Velasquez,"Anaheim, California, USA",Honda Center,14856
2010-10-16,http://ufcstats.com/event-details/d512d9f204059f57,UFC 120: Bisping vs. Akiyama,"London, England, United Kingdom",The O2 Arena,17133
2010-09-25,http://ufcstats.com/event-details/ad32471f01e7b1a5,UFC 119: Mir vs. Cro Cop,"Indianapolis, Indiana, USA",Conseco Fieldhouse,15811
2010-09-15,http://ufcstats.com/event-details/acff437707625fc7,UFC Fight Night: Marquardt vs. Palhares,"Austin, Texas, USA",Frank Erwin Center,7724
2010-08-28,http://ufcstats.com/event-details/054defd5420a551f,UFC 118: Edgar vs. Penn 2,"Boston, Massachusetts, USA",TD Garden,14168
2010-08-07,http://ufcstats.com/event-details/2f3f12002564bb55,UFC 117: Silva vs. Sonnen,"Oakland, California, USA",Oracle Arena,12971
2010-08-01,http://ufcstats.com/event-details/f12f979b657ab876,UFC Live: Jones vs. Matyushenko,"San Diego, California, USA",Pechanga Arena,8132
2010-07-03,http://ufcstats.com/event-details/140745cbbcb023ac,UFC 116: Lesnar vs. Carwin,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12740
2010-06-19,http://ufcstats.com/event-details/9bcf8603ceb25680,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1708
2010-06-12,http://ufcstats.com/event-details/cfb65863d5099327,UFC 115: Liddell vs. Franklin,"Vancouver, British Columbia, Canada",General Motors Place,17669
2010-05-29,http://ufcstats.com/event-details/bfc2fc38a0e20211,UFC 114: Rampage vs. Evans,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14996
2010-05-08,http://ufcstats.com/event-details/d0c29452d3272603,UFC 113: Machida vs. Shogun 2,"Montreal, Quebec, Canada",Bell Centre,17647
2010-04-10,http://ufcstats.com/event-details/24b033b3daf1c9df,UFC 112: Invincible,"Abu Dhabi, United Arab Emirates","Concert Arena, Yas Island",11008
2010-03-31,http://ufcstats.com/event-details/3ed134d85dfbd7b4,UFC Fight Night: Florian vs. Gomi,"Charlotte, North Carolina, USA",Bojangles Coliseum,7700
2010-03-27,http://ufcstats.com/event-details/c80095f6092271a7,UFC 111: St-Pierre vs. Hardy,"Newark, New Jersey, USA",Prudential Center,17000
2010-03-21,http://ufcstats.com/event-details/3795fca327cbcf23,UFC Live: Vera vs. Jones,"Broomfield, Colorado, USA",1stBank Center,6443
2010-02-20,http://ufcstats.com/event-details/49efbdc6c9f650c4,UFC 110: Nogueira vs. Velasquez,"Sydney, New South Wales, Australia",Qudos Bank Arena,17831
2010-02-06,http://ufcstats.com/event-details/15edcf67ccf5be84,UFC 109: Relentless,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10753
2010-01-11,http://ufcstats.com/event-details/58bc81376286b3d3,UFC Fight Night: Maynard vs. Diaz,"Fairfax, Virginia, USA",Patriot Center,8078
2010-01-02,http://ufcstats.com/event-details/a6d8bfe9e0c8153b,UFC 108: Evans vs. Silva,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13529
2009-12-12,http://ufcstats.com/event-details/821cd80aab70d5f9,UFC 107: Penn vs. Sanchez,"Memphis, Tennessee, USA",FedExForum,13896
2009-12-05,http://ufcstats.com/event-details/91d73ee59347ac16,The Ultimate Fighter: Heavyweights Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1791
2009-11-21,http://ufcstats.com/event-details/84a067c46306a737,UFC 106: Ortiz vs. Griffin 2,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10529
2009-11-14,http://ufcstats.com/event-details/fa8b9e6b0c2269f8,UFC 105: Couture vs. Vera,"Manchester, England, United Kingdom",Manchester Evening News Arena,16693
2009-10-24,http://ufcstats.com/event-details/7c0847d3854a95f2,UFC 104: Machida vs. Shogun,"Los Angeles, California, USA",Crypto.com Arena,14892
2009-09-19,http://ufcstats.com/event-details/896c322f56b8be5a,UFC 103: Franklin vs. Belfort,"Dallas, Texas, USA",American Airlines Center,17428
2009-09-16,http://ufcstats.com/event-details/a8ea84cbe1655f0a,UFC Fight Night: Diaz vs. Guillard,"Oklahoma City, Oklahoma, USA",Cox Convention Center,9490
2009-08-29,http://ufcstats.com/event-details/c6a33ff198aaaeeb,UFC 102: Couture vs. Nogueira,"Portland, Oregon, USA",Rose Garden,16088
2009-08-08,http://ufcstats.com/event-details/48d1f690b763934c,UFC 101: Declaration,"Philadelphia, Pennsylvania, USA",Wachovia Center,17411
2009-07-11,http://ufcstats.com/event-details/0ee783aa00e468f0,UFC 100,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10871
2009-06-20,http://ufcstats.com/event-details/4908c5ee68a50ee5,The Ultimate Fighter: United States vs. United Kingdom Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,2217
2009-06-13,http://ufcstats.com/event-details/cb6783c39c01d896,UFC 99: The Comeback,"Cologne, North Rhine-Westphalia, Germany",Lanxess Arena,12854
2009-05-23,http://ufcstats.com/event-details/c4b6099f0d25f75e,UFC 98: Evans vs. Machida,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12606
2009-04-18,http://ufcstats.com/event-details/1652f3213655b935,UFC 97: Redemption,"Montreal, Quebec, Canada",Bell Centre,21451
2009-04-01,http://ufcstats.com/event-details/04d5718ed2661e8c,UFC Fight Night: Condit vs. Kampmann,"Nashville, Tennessee, USA",Sommet Center,10267
2009-03-07,http://ufcstats.com/event-details/29b5791e51e7e832,UFC 96: Jackson vs. Jardine,"Columbus, Ohio, USA",Nationwide Arena,17033
2009-02-21,http://ufcstats.com/event-details/7d21de9c6d7c98b2,UFC 95: Sanchez vs. Stevenson,"London, England, United Kingdom",The O2 Arena,13268
2009-02-07,http://ufcstats.com/event-details/d1759b2b7be9be56,UFC Fight Night: Lauzon vs. Stephens,"Tampa, Florida, USA",USF Sun Dome,7596
2009-01-31,http://ufcstats.com/event-details/2a542ee8a8b83559,UFC 94: St-Pierre vs. Penn 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14885
2009-01-17,http://ufcstats.com/event-details/68c6cd5287b473a7,UFC 93: Franklin vs. Henderson,"Dublin, Leinster, Ireland",3Arena,9369
2008-12-27,http://ufcstats.com/event-details/23ab42947c1990e3,UFC 92: The Ultimate 2008,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14166
2008-12-13,http://ufcstats.com/event-details/ea398c802d9998ee,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1853
2008-12-10,http://ufcstats.com/event-details/30cd319d39ee689b,UFC Fight Night - Fight for the Troops,"Fayetteville, North Carolina, USA",Crown Coliseum,8500
2008-11-15,http://ufcstats.com/event-details/a2b06ca02bca14c0,UFC 91: Couture vs. Lesnar,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14272
2008-10-25,http://ufcstats.com/event-details/c670aa48827d6be6,UFC 90: Silva vs. Cote,"Rosemont, Illinois, USA",Allstate Arena,15359
2008-10-18,http://ufcstats.com/event-details/312f47c3d2f83ffa,UFC 89: Bisping vs. Leben,"Birmingham, England, United Kingdom",National Indoor Arena,9515
2008-09-17,http://ufcstats.com/event-details/279093302a6f44b3,UFC Fight Night: Diaz vs. Neer,"Omaha, Nebraska, USA",Omaha Civic Auditorium,9103
2008-09-06,http://ufcstats.com/event-details/0db70ca89e1c7374,UFC 88: Breakthrough,"Atlanta, Georgia, USA",State Farm Arena,14736
2008-08-09,http://ufcstats.com/event-details/19ffeb5e3fffd6d5,UFC 87: Seek And Destroy,"Minneapolis, Minnesota, USA",Target Center,15087
2008-07-19,http://ufcstats.com/event-details/46f11d15c0134fe3,UFC: Silva vs. Irvin,"Las Vegas, Nevada, USA",Palms Casino Resort,2071
2008-07-05,http://ufcstats.com/event-details/bf12aca029bfcc47,UFC 86: Jackson vs. Griffin,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10990
2008-06-21,http://ufcstats.com/event-details/2299605af59fd309,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1853
2008-06-07,http://ufcstats.com/event-details/2efbc83a6b9b7f86,UFC 85: Bedlam,"London, England, United Kingdom",The O2 Arena,15327
2008-05-24,http://ufcstats.com/event-details/2549d63da9c456cb,UFC 84: Ill Will,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14773
2008-04-19,http://ufcstats.com/event-details/ad047e3073a775f3,UFC 83: Serra vs. St-Pierre 2,"Montreal, Quebec, Canada",Bell Centre,21390
2008-04-02,http://ufcstats.com/event-details/b9e871af730f826c,UFC Fight Night: Florian vs. Lauzon,"Broomfield, Colorado, USA",Broomfield Event Center,6742
2008-03-01,http://ufcstats.com/event-details/598a58db87b890ee,UFC 82: Pride of a Champion,"Columbus, Ohio, USA",Nationwide Arena,16431
2008-02-02,http://ufcstats.com/event-details/597db668b01c442c,UFC 81: Breaking Point,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10583
2008-01-23,http://ufcstats.com/event-details/33e33d51f289d2a1,UFC Fight Night: Swick vs. Burkman,"Las Vegas, Nevada, USA",Palms Casino Resort,1900
2008-01-19,http://ufcstats.com/event-details/a24e080000fa7a35,UFC 80: Rapid Fire,"Newcastle, England, United Kingdom",Metro Radio Arena,8412
2007-12-29,http://ufcstats.com/event-details/7269329bd87eb479,UFC 79: Nemesis,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,11075
2007-12-08,http://ufcstats.com/event-details/df85d6ec3493d120,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,
2007-11-17,http://ufcstats.com/event-details/1d147d4163a6989b,UFC 78: Validation,"Newark, New Jersey, USA",Prudential Center,14071
2007-10-20,http://ufcstats.com/event-details/91181b29be041f1c,UFC 77: Hostile Territory,"Cincinnati, Ohio, USA",U.S. Bank Arena,16054
2007-09-22,http://ufcstats.com/event-details/bad28b7b34f334de,UFC 76: Knockout,"Anaheim, California, USA",Honda Center,13770
2007-09-19,http://ufcstats.com/event-details/f341f9551ba744e2,UFC Fight Night: Thomas vs. Florian,"Las Vegas, Nevada, USA",Palms Casino Resort,
2007-09-08,http://ufcstats.com/event-details/0aa92558424ced9e,UFC 75: Champion vs. Champion,"London, England, United Kingdom",The O2 Arena,16235
2007-08-25,http://ufcstats.com/event-details/a5c53b3ddb31cc7d,UFC 74: Respect,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,11065
